MEDIA_ID,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,CX,CY,CS,
0,0.24701,2,1,0.44474,0.21802,0.69740,0.07963,0,
0,0.26412,2,1,0.46257,0.20214,0.73802,0.07593,0,
0,0.28066,2,1,0.45294,0.21627,0.73802,0.07593,0,
0,0.29648,2,1,0.45280,0.21860,0.79219,0.06852,0,
0,0.31288,2,1,0.46105,0.19820,0.79219,0.06852,0,
0,0.32964,2,1,0.45836,0.19865,0.83490,0.06389,0,
0,0.34587,2,1,0.45828,0.20093,0.83490,0.06389,0,
0,0.36388,2,1,0.44888,0.20003,0.87344,0.06019,0,
0,0.37886,2,1,0.45461,0.23559,0.87344,0.06019,0,
0,0.39525,2,1,0.45472,0.23315,0.90677,0.05926,0,
0,0.41175,2,1,0.48000,0.22736,0.90677,0.05926,0,
0,0.42851,2,1,0.45145,0.22083,0.93229,0.05741,0,
0,0.44500,2,1,0.45163,0.21814,0.93229,0.05741,0,
0,0.46151,2,1,0.47865,0.20076,0.95104,0.05648,0,
0,0.47813,2,1,0.45916,0.20963,0.95104,0.05648,0,
0,0.49438,2,1,0.45916,0.20963,0.96458,0.05556,0,
0,0.51088,2,1,0.45062,0.20612,0.96458,0.05556,0,
0,0.52736,2,1,0.47624,0.20943,0.97083,0.05370,0,
0,0.54401,2,1,0.47607,0.20722,0.97083,0.05370,0,
0,0.56030,2,1,0.45432,0.19516,0.97135,0.05278,0,
0,0.57743,2,1,0.44710,0.17920,0.97240,0.05185,0,
0,0.59338,2,1,0.44710,0.17920,0.97240,0.05185,0,
0,0.61002,2,1,0.44442,0.18858,0.97292,0.05185,0,
0,0.62652,2,1,0.45869,0.18964,0.97292,0.05185,0,
0,0.64275,2,1,0.45862,0.19168,0.97292,0.05185,0,
0,0.65925,2,1,0.46287,0.20440,0.97292,0.05185,0,
0,0.67588,2,1,0.44751,0.21490,0.97292,0.05185,0,
0,0.69400,2,1,0.44751,0.21490,0.97292,0.05185,0,
0,0.70889,2,1,0.51994,0.20385,0.97292,0.05185,0,
0,0.72542,2,1,0.51069,0.21270,0.97292,0.05185,0,
0,0.74176,2,1,0.51004,0.21060,0.97292,0.05185,0,
0,0.75826,2,1,0.53081,0.19592,0.97292,0.05185,0,
0,0.77489,2,1,0.52874,0.18655,0.97292,0.05185,0,
0,0.77489,2,0,0.52964,0.18828,0.97292,0.05185,0,
0,0.77489,2,0,0.51968,0.19624,0.97292,0.05185,0,
0,0.77489,2,0,0.51926,0.21926,0.97292,0.05185,0,
0,0.04921,3,1,0.52001,0.22133,0.97292,0.05185,0,
0,0.06596,3,1,0.51379,0.20424,0.97292,0.05185,0,
0,0.08235,3,1,0.51990,0.20308,0.97292,0.05185,0,
0,0.09858,3,1,0.51990,0.20308,0.97188,0.05185,0,
0,0.11521,3,1,0.56026,0.21236,0.97188,0.05185,0,
0,0.13174,3,1,0.69987,0.16589,0.97031,0.05185,0,
0,0.14822,3,1,0.69987,0.16589,0.97031,0.05185,0,
0,0.16460,3,1,0.86507,0.14411,0.97031,0.05185,0,
0,0.18138,3,1,0.85340,0.14338,0.97031,0.05185,0,
0,0.19772,3,1,0.84826,0.14380,0.97031,0.05185,0,
0,0.21410,3,1,0.82300,0.12464,0.97031,0.05185,0,
0,0.21410,3,0,0.80565,0.10422,0.96979,0.05000,0,
0,0.21410,3,0,0.80112,0.10392,0.96979,0.05000,0,
0,0.21410,3,0,0.81461,0.10688,0.96927,0.04815,0,
0,0.21410,3,0,0.78271,0.10550,0.96927,0.04815,0,
0,0.21410,3,0,0.78271,0.10550,0.96875,0.04722,0,
0,0.21410,3,0,0.78562,0.10497,0.96875,0.04722,0,
0,0.04948,4,1,0.84047,0.10177,0.96875,0.04444,0,
0,0.06600,4,1,0.84552,0.10203,0.96875,0.04074,0,
0,0.08223,4,1,0.86640,0.10659,0.96875,0.04074,0,
0,0.09898,4,1,0.85204,0.10343,0.96875,0.04074,0,
0,0.11549,4,1,0.85204,0.10343,0.96979,0.03333,0,
0,0.13200,4,1,0.90507,0.10579,0.97083,0.02778,0,
0,0.14811,4,1,0.86960,0.10244,0.97083,0.02778,0,
0,0.16550,4,1,0.86960,0.10244,0.97083,0.02315,0,
0,0.18124,4,1,0.86339,0.09960,0.97083,0.02315,0,
0,0.19786,4,1,0.88090,0.09888,0.97031,0.01852,0,
0,0.21421,4,1,0.88090,0.09888,0.97031,0.01852,0,
0,0.23073,4,1,0.87618,0.09985,0.96719,0.01574,0,
0,0.24723,4,1,0.86103,0.09647,0.96719,0.01574,0,
0,0.26373,4,1,0.85580,0.09609,0.96042,0.01481,0,
0,0.28048,4,1,0.85356,0.09722,0.96042,0.01481,0,
0,0.29675,4,1,0.85524,0.09407,0.95625,0.01389,0,
0,0.31322,4,1,0.86045,0.09451,0.95625,0.01389,0,
0,0.32972,4,1,0.85141,0.09371,0.95313,0.01389,0,
0,0.34595,4,1,0.86902,0.09813,0.95313,0.01389,0,
0,0.36250,4,1,0.86902,0.09813,0.95052,0.01389,0,
0,0.37965,4,1,0.88200,0.09938,0.95052,0.01389,0,
0,0.39546,4,1,0.85416,0.09359,0.94792,0.01389,0,
0,0.41183,4,1,0.84904,0.09314,0.94792,0.01389,0,
0,0.42912,4,1,0.87124,0.09523,0.94479,0.01389,0,
